Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Group,Visibility_Group
FDM28,15.7,Low Fat,0.0453,Frozen Foods,181.366,OUT045,2002,,Tier 2,Supermarket Type1,1977.426,Non-Perisable,Low Visibilty
FDY33,14.5,Regular,0.0978,Snack Foods,159.726,OUT017,2007,,Tier 2,Supermarket Type1,5728.5432,Non-Perisable,Low Visibilty
NCM54,17.7,Low Fat,0.0509,Household,125.568,OUT013,1987,High,Tier 3,Supermarket Type1,1398.8458,Household,Low Visibilty
FDK04,7.36,Low Fat,0.0523,Frozen Foods,58.559,OUT046,1997,Small,Tier 1,Supermarket Type1,801.6232,Non-Perisable,Low Visibilty
NCI42,18.75,Low Fat,0.0104,Household,207.195,OUT035,2004,Small,Tier 2,Supermarket Type1,1667.1632,Household,Low Visibilty
FDF45,18.2,Regular,0.0123,Fruits and Vegetables,59.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,Perisable,Low Visibilty
FDN56,5.46,Regular,0.1072,Fruits and Vegetables,144.879,OUT049,1999,Medium,Tier 1,Supermarket Type1,3323.0078,Perisable,High Visibility
FDR56,15.5,Regular,0.1013,Fruits and Vegetables,196.577,OUT017,2007,,Tier 2,Supermarket Type1,3350.3056,Perisable,High Visibility
FDX40,12.85,Low Fat,0.099,Frozen Foods,39.316,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,Non-Perisable,Low Visibilty
FDB34,15.25,Low Fat,0.0268,Snack Foods,86.02,OUT017,2007,,Tier 2,Supermarket Type1,2006.0554,Non-Perisable,Low Visibilty
FDY47,8.6,Regular,0.0546,Breads,130.531,OUT045,2002,,Tier 2,Supermarket Type1,1298.31,Perisable,Low Visibilty
DRB01,7.39,Low Fat,0.0822,Soft Drinks,190.953,OUT013,1987,High,Tier 3,Supermarket Type1,2466.789,Drinks,Low Visibilty
FDR51,9.04,Regular,0.1738,Meat,151.471,OUT045,2002,,Tier 2,Supermarket Type1,2407.5328,Perisable,High Visibility
FDR48,11.65,Low Fat,0.1317,Baking Goods,152.302,OUT049,1999,Medium,Tier 1,Supermarket Type1,1518.024,Perisable,High Visibility
FDZ25,15.7,Regular,0.0276,Canned,171.179,OUT013,1987,High,Tier 3,Supermarket Type1,1867.569,Non-Perisable,Low Visibilty
FDJ04,18,Low Fat,0.1247,Frozen Foods,120.312,OUT045,2002,,Tier 2,Supermarket Type1,2725.7852,Non-Perisable,High Visibility
FDB52,17.75,Low Fat,0.0306,Dairy,257.467,OUT018,2009,Medium,Tier 3,Supermarket Type2,3835.008,Perisable,Low Visibilty
FDH14,17.1,Regular,0.0469,Canned,142.084,OUT045,2002,,Tier 2,Supermarket Type1,2528.7084,Non-Perisable,Low Visibilty
NCY17,18.2,Low Fat,0.1631,Health and Hygiene,43.009,OUT046,1997,Small,Tier 1,Supermarket Type1,758.3462,Household,High Visibility
FDX31,20.35,Regular,0,Fruits and Vegetables,234.496,OUT045,2002,,Tier 2,Supermarket Type1,1402.1748,Perisable,Unknown
FDN12,15.6,Low Fat,0.0811,Baking Goods,112.354,OUT046,1997,Small,Tier 1,Supermarket Type1,1006.6896,Perisable,Low Visibilty
FDG56,13.3,Regular,0.0717,Fruits and Vegetables,59.754,OUT018,2009,Medium,Tier 3,Supermarket Type2,918.804,Perisable,Low Visibilty
FDP23,6.71,Low Fat,0.0357,Breads,218.317,OUT018,2009,Medium,Tier 3,Supermarket Type2,5660.6316,Perisable,Low Visibilty
FDC47,15,Low Fat,0.1191,Snack Foods,226.969,OUT045,2002,,Tier 2,Supermarket Type1,6851.082,Non-Perisable,High Visibility
NCR42,9.11,Low Fat,0.0386,Household,33.89,OUT045,2002,,Tier 2,Supermarket Type1,99.87,Household,Low Visibilty
DRO59,11.8,Low Fat,0.0542,Hard Drinks,75.401,OUT049,1999,Medium,Tier 1,Supermarket Type1,986.7156,Drinks,Low Visibilty
FDT60,12,Low Fat,0.0759,Baking Goods,124.539,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.7432,Perisable,Low Visibilty
FDE32,20.7,Low Fat,0.049,Fruits and Vegetables,37.851,OUT018,2009,Medium,Tier 3,Supermarket Type2,265.6542,Perisable,Low Visibilty
FDF21,10.3,Regular,0.0592,Fruits and Vegetables,191.553,OUT017,2007,,Tier 2,Supermarket Type1,6641.355,Perisable,Low Visibilty
FDX04,19.6,Regular,0.0415,Frozen Foods,46.038,OUT013,1987,High,Tier 3,Supermarket Type1,527.3136,Non-Perisable,Low Visibilty
FDC22,6.89,Regular,0,Snack Foods,193.482,OUT049,1999,Medium,Tier 1,Supermarket Type1,2510.066,Non-Perisable,Unknown
FDD39,16.7,Low Fat,0.0703,Dairy,216.385,OUT045,2002,,Tier 2,Supermarket Type1,3678.545,Perisable,Low Visibilty
DRC36,13,Regular,0.045,Soft Drinks,175.005,OUT046,1997,Small,Tier 1,Supermarket Type1,1926.1594,Drinks,Low Visibilty
DRE01,10.1,Low Fat,0.1672,Soft Drinks,241.751,OUT046,1997,Small,Tier 1,Supermarket Type1,5331.7264,Drinks,High Visibility
FDP37,15.6,Low Fat,0.143,Breakfast,130.399,OUT013,1987,High,Tier 3,Supermarket Type1,2826.9868,Non-Perisable,High Visibility
DRI01,7.97,Low Fat,0,Soft Drinks,173.742,OUT045,2002,,Tier 2,Supermarket Type1,2759.0752,Drinks,Unknown
NCS30,5.95,Low Fat,0,Household,128.965,OUT017,2007,,Tier 2,Supermarket Type1,1808.3128,Household,Unknown
FDX31,20.35,Regular,0.0149,Fruits and Vegetables,234.496,OUT018,2009,Medium,Tier 3,Supermarket Type2,3271.7412,Perisable,Low Visibilty
FDH47,13.5,Regular,0.1288,Starchy Foods,96.407,OUT046,1997,Small,Tier 1,Supermarket Type1,2527.3768,Non-Perisable,High Visibility
FDY11,6.71,Regular,0.0297,Baking Goods,65.014,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.8846,Perisable,Low Visibilty
FDU23,12.15,Low Fat,0.0364,Breads,166.018,OUT010,1998,,Tier 3,Grocery Store,330.2368,Perisable,Low Visibilty
FDO19,17.7,Regular,0.0166,Fruits and Vegetables,50.503,OUT013,1987,High,Tier 3,Supermarket Type1,1458.102,Perisable,Low Visibilty
FDP08,20.5,Regular,0.1123,Fruits and Vegetables,193.948,OUT013,1987,High,Tier 3,Supermarket Type1,4456.1994,Perisable,High Visibility
FDX19,19.1,Low Fat,0.0967,Fruits and Vegetables,235.196,OUT013,1987,High,Tier 3,Supermarket Type1,4673.916,Perisable,Low Visibilty
FDJ28,12.3,Low Fat,0.022,Frozen Foods,191.216,OUT017,2007,,Tier 2,Supermarket Type1,1924.162,Non-Perisable,Low Visibilty
FDE29,8.91,Low Fat,0.1434,Frozen Foods,62.088,OUT049,1999,Medium,Tier 1,Supermarket Type1,302.939,Non-Perisable,High Visibility
FDC14,14.5,Regular,0.0415,Canned,40.045,OUT017,2007,,Tier 2,Supermarket Type1,209.727,Non-Perisable,Low Visibilty
FDV44,8.37,Regular,0.0401,Fruits and Vegetables,190.719,OUT017,2007,,Tier 2,Supermarket Type1,1904.188,Perisable,Low Visibilty
NCF43,8.51,Low Fat,0.0522,Household,141.947,OUT017,2007,,Tier 2,Supermarket Type1,2004.058,Household,Low Visibilty
NCY42,6.38,Low Fat,0.0151,Household,144.047,OUT013,1987,High,Tier 3,Supermarket Type1,3149.234,Household,Low Visibilty
FDB29,16.7,Regular,0.0524,Frozen Foods,115.118,OUT035,2004,Small,Tier 2,Supermarket Type1,1488.7288,Non-Perisable,Low Visibilty
FDL28,10,Regular,0.0631,Frozen Foods,231.767,OUT013,1987,High,Tier 3,Supermarket Type1,460.7336,Non-Perisable,Low Visibilty
FDF57,14.5,Regular,0.0589,Fruits and Vegetables,168.645,OUT045,2002,,Tier 2,Supermarket Type1,2897.5616,Perisable,Low Visibilty
FDE44,14.65,Low Fat,0.1712,Fruits and Vegetables,50.369,OUT013,1987,High,Tier 3,Supermarket Type1,591.2304,Perisable,High Visibility
FDA08,11.85,Regular,0.0504,Fruits and Vegetables,163.853,OUT017,2007,,Tier 2,Supermarket Type1,1808.9786,Perisable,Low Visibilty
NCC06,19,Low Fat,0.027,Household,127.134,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.3392,Household,Low Visibilty
FDO32,6.36,Low Fat,0.1205,Fruits and Vegetables,45.806,OUT046,1997,Small,Tier 1,Supermarket Type1,1165.15,Perisable,High Visibility
FDU39,18.85,Low Fat,0.036,Meat,58.456,OUT046,1997,Small,Tier 1,Supermarket Type1,711.0744,Perisable,Low Visibilty
NCK18,9.6,Low Fat,0.0067,Household,165.918,OUT018,2009,Medium,Tier 3,Supermarket Type2,2972.1312,Household,Low Visibilty
FDI26,5.94,Low Fat,0.0349,Canned,177.334,OUT049,1999,Medium,Tier 1,Supermarket Type1,1605.9096,Non-Perisable,Low Visibilty
DRE37,13.5,Low Fat,0.0942,Soft Drinks,189.987,OUT046,1997,Small,Tier 1,Supermarket Type1,1323.6104,Drinks,Low Visibilty
NCN26,10.85,Low Fat,0.048,Household,117.581,OUT010,1998,,Tier 3,Grocery Store,351.5424,Household,Low Visibilty
FDS16,15.15,Regular,0.0662,Frozen Foods,147.376,OUT035,2004,Small,Tier 2,Supermarket Type1,2197.14,Non-Perisable,Low Visibilty
FDE40,15.6,Regular,0,Dairy,62.419,OUT018,2009,Medium,Tier 3,Supermarket Type2,804.9522,Perisable,Unknown
FDP03,5.15,Regular,0,Meat,122.939,OUT017,2007,,Tier 2,Supermarket Type1,2105.2596,Perisable,Unknown
FDA27,20.35,Regular,0.031,Dairy,253.967,OUT049,1999,Medium,Tier 1,Supermarket Type1,3068.0064,Perisable,Low Visibilty
FDJ12,8.9,Regular,0.0391,Baking Goods,208.83,OUT049,1999,Medium,Tier 1,Supermarket Type1,5400.9696,Perisable,Low Visibilty
FDT03,21.25,Low Fat,0.01,Meat,181.761,OUT018,2009,Medium,Tier 3,Supermarket Type2,1102.5648,Perisable,Low Visibilty
FDF50,4.91,Low Fat,0.1173,Canned,195.777,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.152,Non-Perisable,High Visibility
FDC51,10.9,Regular,0.0096,Dairy,124.173,OUT045,2002,,Tier 2,Supermarket Type1,1601.249,Perisable,Low Visibilty
FDZ23,17.75,Regular,0.0675,Baking Goods,185.224,OUT035,2004,Small,Tier 2,Supermarket Type1,6338.416,Perisable,Low Visibilty
FDW24,6.8,Low Fat,0.0376,Baking Goods,50.203,OUT045,2002,,Tier 2,Supermarket Type1,1166.4816,Perisable,Low Visibilty
FDH21,10.4,Low Fat,0.0312,Seafood,156.96,OUT035,2004,Small,Tier 2,Supermarket Type1,4595.3516,Perisable,Low Visibilty
NCQ41,14.8,Low Fat,0.0326,Health and Hygiene,193.579,OUT010,1998,,Tier 3,Grocery Store,390.1588,Household,Low Visibilty
FDH48,13.5,Low Fat,0,Baking Goods,84.554,OUT018,2009,Medium,Tier 3,Supermarket Type2,778.986,Perisable,Unknown
FDX11,16,Regular,0.1067,Baking Goods,183.663,OUT035,2004,Small,Tier 2,Supermarket Type1,2544.6876,Perisable,High Visibility
FDK33,17.85,Low Fat,0.0112,Snack Foods,211.956,OUT013,1987,High,Tier 3,Supermarket Type1,4474.176,Non-Perisable,Low Visibilty
FDV36,18.7,Low Fat,0.0264,Baking Goods,127.102,OUT045,2002,,Tier 2,Supermarket Type1,3289.052,Perisable,Low Visibilty
NCW41,18,Low Fat,0.0155,Health and Hygiene,159.36,OUT045,2002,,Tier 2,Supermarket Type1,2059.9852,Household,Low Visibilty
FDE36,5.26,Regular,0.0419,Baking Goods,162.787,OUT045,2002,,Tier 2,Supermarket Type1,4258.4568,Perisable,Low Visibilty
FDO27,6.18,Regular,0,Meat,94.975,OUT045,2002,,Tier 2,Supermarket Type1,1534.0032,Perisable,Unknown
FDW27,5.86,Regular,0.1512,Meat,156.631,OUT045,2002,,Tier 2,Supermarket Type1,3257.7594,Perisable,High Visibility
FDR11,10.5,Regular,0.1424,Breads,161.158,OUT013,1987,High,Tier 3,Supermarket Type1,1765.0358,Perisable,High Visibility
FDV07,9.5,Low Fat,0.0314,Fruits and Vegetables,110.323,OUT018,2009,Medium,Tier 3,Supermarket Type2,2763.07,Perisable,Low Visibilty
FDN04,11.8,Regular,0.0142,Frozen Foods,178.234,OUT017,2007,,Tier 2,Supermarket Type1,2854.9504,Non-Perisable,Low Visibilty
FDZ08,12.5,Regular,0.1102,Fruits and Vegetables,81.859,OUT045,2002,,Tier 2,Supermarket Type1,1238.388,Perisable,High Visibility
FDD05,19.35,Low Fat,0.0167,Frozen Foods,119.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,1928.1568,Non-Perisable,Low Visibilty
FDV60,20.2,Regular,0.1173,Baking Goods,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,2749.754,Perisable,High Visibility
NCG30,20.2,Low Fat,0.1122,Household,123.505,OUT013,1987,High,Tier 3,Supermarket Type1,2739.1012,Household,High Visibility
FDW24,6.8,Low Fat,0.0376,Baking Goods,49.603,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,Perisable,Low Visibilty
NCY54,8.43,Low Fat,0.1777,Household,170.542,OUT035,2004,Small,Tier 2,Supermarket Type1,3621.2862,Household,High Visibility
FDS35,9.3,Low Fat,0.1118,Breads,64.683,OUT017,2007,,Tier 2,Supermarket Type1,774.9912,Perisable,High Visibility
FDB04,11.35,Regular,0.0632,Dairy,88.386,OUT035,2004,Small,Tier 2,Supermarket Type1,1318.284,Perisable,Low Visibilty
NCK05,20.1,Low Fat,0.0779,Health and Hygiene,59.354,OUT017,2007,,Tier 2,Supermarket Type1,918.804,Household,Low Visibilty
FDT46,11.35,Low Fat,0.0516,Snack Foods,49.001,OUT010,1998,,Tier 3,Grocery Store,101.2016,Non-Perisable,Low Visibilty
NCR17,9.8,Low Fat,0.0245,Health and Hygiene,117.549,OUT017,2007,,Tier 2,Supermarket Type1,1390.1904,Household,Low Visibilty
NCN54,20.35,Low Fat,0.0214,Household,76.333,OUT017,2007,,Tier 2,Supermarket Type1,1312.9576,Household,Low Visibilty
FDX12,18.2,Regular,0.0261,Baking Goods,241.22,OUT035,2004,Small,Tier 2,Supermarket Type1,6507.5292,Perisable,Low Visibilty
DRL23,18.35,Low Fat,0.0153,Hard Drinks,105.294,OUT035,2004,Small,Tier 2,Supermarket Type1,2036.6822,Drinks,Low Visibilty
DRN47,12.1,Low Fat,0,Hard Drinks,179.866,OUT045,2002,,Tier 2,Supermarket Type1,3595.32,Drinks,Unknown
FDM25,10.7,Regular,0.0606,Breakfast,174.071,OUT013,1987,High,Tier 3,Supermarket Type1,2460.7968,Non-Perisable,Low Visibilty
FDU21,11.8,Regular,0.0769,Snack Foods,33.156,OUT045,2002,,Tier 2,Supermarket Type1,543.2928,Non-Perisable,Low Visibilty
FDI15,13.8,Low Fat,0.1422,Dairy,263.588,OUT017,2007,,Tier 2,Supermarket Type1,2384.8956,Perisable,High Visibility
FDJ09,15,Low Fat,0.0586,Snack Foods,46.474,OUT018,2009,Medium,Tier 3,Supermarket Type2,543.2928,Non-Perisable,Low Visibilty
FDW03,5.63,Regular,0.0245,Meat,105.131,OUT046,1997,Small,Tier 1,Supermarket Type1,3135.918,Perisable,Low Visibilty
FDA07,7.55,Regular,0.031,Fruits and Vegetables,124.307,OUT049,1999,Medium,Tier 1,Supermarket Type1,2695.1584,Perisable,Low Visibilty
FDU39,18.85,Low Fat,0.0362,Meat,57.356,OUT017,2007,,Tier 2,Supermarket Type1,1007.3554,Perisable,Low Visibilty
FDI60,7.22,Regular,0.0384,Baking Goods,61.951,OUT045,2002,,Tier 2,Supermarket Type1,1518.024,Perisable,Low Visibilty
FDK33,17.85,Low Fat,0.0113,Snack Foods,211.656,OUT045,2002,,Tier 2,Supermarket Type1,2556.672,Non-Perisable,Low Visibilty
FDN01,8.9,Low Fat,0.0725,Breakfast,177.437,OUT049,1999,Medium,Tier 1,Supermarket Type1,3528.74,Non-Perisable,Low Visibilty
FDV38,19.25,Low Fat,0.1017,Dairy,54.696,OUT013,1987,High,Tier 3,Supermarket Type1,163.7868,Perisable,High Visibility
NCV06,11.3,Low Fat,0.0666,Household,194.248,OUT013,1987,High,Tier 3,Supermarket Type1,2712.4692,Household,Low Visibilty
FDQ34,10.85,Low Fat,0.1622,Snack Foods,107.862,OUT046,1997,Small,Tier 1,Supermarket Type1,1058.622,Non-Perisable,High Visibility
DRK37,5,Low Fat,0,Soft Drinks,189.853,OUT045,2002,,Tier 2,Supermarket Type1,4933.578,Drinks,Unknown
NCY53,20,Low Fat,0,Health and Hygiene,110.254,OUT013,1987,High,Tier 3,Supermarket Type1,1454.1072,Household,Unknown
FDV49,10,Low Fat,0.0259,Canned,264.623,OUT049,1999,Medium,Tier 1,Supermarket Type1,4757.8068,Non-Perisable,Low Visibilty
FDH34,8.63,Low Fat,0.0311,Snack Foods,185.758,OUT046,1997,Small,Tier 1,Supermarket Type1,3529.4058,Non-Perisable,Low Visibilty
NCD07,9.1,Low Fat,0,Household,115.452,OUT017,2007,,Tier 2,Supermarket Type1,2390.8878,Household,Unknown
FDB51,6.92,Low Fat,0.0384,Dairy,62.585,OUT013,1987,High,Tier 3,Supermarket Type1,438.0964,Perisable,Low Visibilty
NCH42,6.86,Low Fat,0.0612,Household,228.401,OUT010,1998,,Tier 3,Grocery Store,229.701,Household,Low Visibilty
NCI31,20,Low Fat,0.0813,Others,37.819,OUT035,2004,Small,Tier 2,Supermarket Type1,439.428,Non-Perisable,Low Visibilty
FDL56,14.1,Low Fat,0.1258,Fruits and Vegetables,87.12,OUT035,2004,Small,Tier 2,Supermarket Type1,2529.3742,Perisable,High Visibility
FDG29,17.6,Low Fat,0.0566,Frozen Foods,41.745,OUT017,2007,,Tier 2,Supermarket Type1,209.727,Non-Perisable,Low Visibilty
FDJ45,17.75,Low Fat,0.0737,Seafood,35.122,OUT018,2009,Medium,Tier 3,Supermarket Type2,415.4592,Perisable,Low Visibilty
FDJ38,8.6,Regular,0.0404,Canned,191.653,OUT017,2007,,Tier 2,Supermarket Type1,3795.06,Non-Perisable,Low Visibilty
NCO05,7.27,Low Fat,0.0467,Health and Hygiene,100.438,OUT018,2009,Medium,Tier 3,Supermarket Type2,1970.768,Household,Low Visibilty
FDW24,6.8,Low Fat,0.0628,Baking Goods,50.403,OUT010,1998,,Tier 3,Grocery Store,48.6034,Perisable,Low Visibilty
FDH46,6.94,Regular,0.0413,Snack Foods,103.133,OUT049,1999,Medium,Tier 1,Supermarket Type1,820.2656,Non-Perisable,Low Visibilty
FDW39,6.69,Regular,0.0369,Meat,175.137,OUT035,2004,Small,Tier 2,Supermarket Type1,1235.059,Perisable,Low Visibilty
FDU25,12.35,Low Fat,0.0267,Canned,57.425,OUT045,2002,,Tier 2,Supermarket Type1,810.9444,Non-Perisable,Low Visibilty
FDC44,15.6,Low Fat,0.1725,Fruits and Vegetables,115.152,OUT013,1987,High,Tier 3,Supermarket Type1,683.1108,Perisable,High Visibility
FDI45,13.1,Low Fat,0.0376,Fruits and Vegetables,175.505,OUT046,1997,Small,Tier 1,Supermarket Type1,2451.4756,Perisable,Low Visibilty
FDK08,9.2,Regular,0.1222,Fruits and Vegetables,100.102,OUT013,1987,High,Tier 3,Supermarket Type1,1619.2256,Perisable,High Visibility
FDW36,11.15,Low Fat,0.0569,Baking Goods,107.162,OUT035,2004,Small,Tier 2,Supermarket Type1,423.4488,Perisable,Low Visibilty
FDL39,16.1,Regular,0.0633,Dairy,180.932,OUT035,2004,Small,Tier 2,Supermarket Type1,1984.7498,Perisable,Low Visibilty
FDS13,6.47,Low Fat,0.1244,Canned,266.188,OUT013,1987,High,Tier 3,Supermarket Type1,5299.768,Non-Perisable,High Visibility
FDO57,20.75,Low Fat,0.1089,Snack Foods,161.558,OUT049,1999,Medium,Tier 1,Supermarket Type1,320.9156,Non-Perisable,High Visibility
FDS37,7.66,Low Fat,0.0321,Canned,115.749,OUT017,2007,,Tier 2,Supermarket Type1,2548.6824,Non-Perisable,Low Visibilty
FDV26,20.25,Regular,0.0761,Dairy,193.579,OUT013,1987,High,Tier 3,Supermarket Type1,1950.794,Perisable,Low Visibilty
FDJ22,18.75,low fat,0.0528,Snack Foods,189.75,OUT013,1987,High,Tier 3,Supermarket Type1,2492.7552,Non-Perisable,Low Visibilty
FDC16,11.5,Regular,0.0206,Dairy,86.054,OUT049,1999,Medium,Tier 1,Supermarket Type1,1038.648,Perisable,Low Visibilty
FDT25,7.5,Low Fat,0.0507,Canned,123.207,OUT035,2004,Small,Tier 2,Supermarket Type1,1837.608,Non-Perisable,Low Visibilty
FDR34,17,Regular,0.016,Snack Foods,229.135,OUT045,2002,,Tier 2,Supermarket Type1,4580.704,Non-Perisable,Low Visibilty
DRI03,6.03,Low Fat,0.0227,Dairy,177.903,OUT046,1997,Small,Tier 1,Supermarket Type1,4781.7756,Perisable,Low Visibilty
FDQ03,15,Regular,0,Meat,235.625,OUT049,1999,Medium,Tier 1,Supermarket Type1,1896.1984,Perisable,Unknown
DRD27,18.75,Low Fat,0.0239,Dairy,97.404,OUT049,1999,Medium,Tier 1,Supermarket Type1,2281.6966,Perisable,Low Visibilty
FDK33,17.85,Low Fat,0.0113,Snack Foods,213.756,OUT018,2009,Medium,Tier 3,Supermarket Type2,3408.896,Non-Perisable,Low Visibilty
DRL23,18.35,Low Fat,0.0153,Hard Drinks,107.594,OUT049,1999,Medium,Tier 1,Supermarket Type1,1822.2946,Drinks,Low Visibilty
FDW32,18.35,Regular,0.0945,Fruits and Vegetables,87.188,OUT045,2002,,Tier 2,Supermarket Type1,515.3292,Perisable,Low Visibilty
NCL05,19.6,Low Fat,0.0479,Health and Hygiene,44.677,OUT046,1997,Small,Tier 1,Supermarket Type1,173.108,Household,Low Visibilty
NCL06,14.65,Low Fat,0.0722,Household,260.959,OUT045,2002,,Tier 2,Supermarket Type1,2878.2534,Household,Low Visibilty
FDH10,21,Low Fat,0.0495,Snack Foods,195.348,OUT018,2009,Medium,Tier 3,Supermarket Type2,1162.4868,Non-Perisable,Low Visibilty
NCO14,9.6,Low Fat,0.0298,Household,45.209,OUT017,2007,,Tier 2,Supermarket Type1,669.129,Household,Low Visibilty
FDV03,17.6,Low Fat,0.0582,Meat,154.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,2326.971,Perisable,Low Visibilty
FDW52,14,Regular,0.0377,Frozen Foods,166.453,OUT017,2007,,Tier 2,Supermarket Type1,4769.1254,Non-Perisable,Low Visibilty
NCZ30,6.59,Low Fat,0,Household,119.11,OUT017,2007,,Tier 2,Supermarket Type1,964.0784,Household,Unknown
FDY35,17.6,Regular,0.0268,Breads,47.84,OUT010,1998,,Tier 3,Grocery Store,91.8804,Perisable,Low Visibilty
FDN31,11.5,Low Fat,0.0729,Fruits and Vegetables,191.353,OUT046,1997,Small,Tier 1,Supermarket Type1,2277.036,Perisable,Low Visibilty
FDX31,20.35,Regular,0.0148,Fruits and Vegetables,234.096,OUT035,2004,Small,Tier 2,Supermarket Type1,2570.6538,Perisable,Low Visibilty
NCJ05,18.7,Low Fat,0.0462,Health and Hygiene,152.368,OUT049,1999,Medium,Tier 1,Supermarket Type1,1677.1502,Household,Low Visibilty
FDN56,5.46,Regular,0.1077,Fruits and Vegetables,143.879,OUT017,2007,,Tier 2,Supermarket Type1,4334.358,Perisable,High Visibility
FDZ04,9.31,Low Fat,0.038,Frozen Foods,62.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,822.263,Non-Perisable,Low Visibilty
FDJ44,12.3,Regular,0.1063,Fruits and Vegetables,174.94,OUT035,2004,Small,Tier 2,Supermarket Type1,1569.9564,Perisable,High Visibility
FDI08,18.2,Regular,0.0667,Fruits and Vegetables,248.109,OUT017,2007,,Tier 2,Supermarket Type1,4233.1564,Perisable,Low Visibilty
FDB59,18.25,Low Fat,0.0153,Snack Foods,200.008,OUT018,2009,Medium,Tier 3,Supermarket Type2,1984.084,Non-Perisable,Low Visibilty
FDY15,18.25,Regular,0.1712,Dairy,156.463,OUT045,2002,,Tier 2,Supermarket Type1,938.778,Perisable,High Visibility
DRO47,10.2,Low Fat,0.1129,Hard Drinks,114.486,OUT017,2007,,Tier 2,Supermarket Type1,2490.092,Drinks,High Visibility
FDW21,5.34,Regular,0.006,Snack Foods,102.436,OUT035,2004,Small,Tier 2,Supermarket Type1,2010.716,Non-Perisable,Low Visibilty
FDM09,11.15,Regular,0.0861,Snack Foods,167.879,OUT045,2002,,Tier 2,Supermarket Type1,2886.243,Non-Perisable,Low Visibilty
FDK43,9.8,Low Fat,0.0269,Meat,126.302,OUT049,1999,Medium,Tier 1,Supermarket Type1,3036.048,Perisable,Low Visibilty
FDE45,12.1,Low Fat,0.0405,Fruits and Vegetables,178.5,OUT018,2009,Medium,Tier 3,Supermarket Type2,5552.1062,Perisable,Low Visibilty
FDS57,15.5,Low Fat,0,Snack Foods,141.547,OUT017,2007,,Tier 2,Supermarket Type1,3006.087,Non-Perisable,Unknown
FDF10,15.5,Regular,0,Snack Foods,147.242,OUT018,2009,Medium,Tier 3,Supermarket Type2,1324.2762,Non-Perisable,Unknown
FDP03,5.15,Regular,0.1024,Meat,122.139,OUT010,1998,,Tier 3,Grocery Store,495.3552,Perisable,High Visibility
FDT04,17.25,Low Fat,0,Frozen Foods,37.582,OUT010,1998,,Tier 3,Grocery Store,196.411,Non-Perisable,Unknown
NCW53,18.35,Low Fat,0.0305,Health and Hygiene,191.316,OUT013,1987,High,Tier 3,Supermarket Type1,1346.9134,Household,Low Visibilty
FDA39,6.32,Low Fat,0.0213,Meat,38.582,OUT010,1998,,Tier 3,Grocery Store,78.5644,Perisable,Low Visibilty
NCH29,5.51,Low Fat,0.0345,Health and Hygiene,96.773,OUT035,2004,Small,Tier 2,Supermarket Type1,2642.5602,Household,Low Visibilty
FDU02,13.35,Low Fat,0.1027,Dairy,228.835,OUT045,2002,,Tier 2,Supermarket Type1,5267.8096,Perisable,High Visibility
FDA32,14,Low Fat,0.0504,Fruits and Vegetables,214.719,OUT010,1998,,Tier 3,Grocery Store,862.8768,Perisable,Low Visibilty
FDU39,18.85,Low Fat,0.0362,Meat,58.556,OUT018,2009,Medium,Tier 3,Supermarket Type2,770.3306,Perisable,Low Visibilty
NCW53,18.35,Low Fat,0.0306,Health and Hygiene,190.616,OUT045,2002,,Tier 2,Supermarket Type1,3271.0754,Household,Low Visibilty
NCZ42,10.5,Low Fat,0.0113,Household,237.025,OUT013,1987,High,Tier 3,Supermarket Type1,5451.5704,Household,Low Visibilty
FDO46,9.6,Regular,0,Snack Foods,191.087,OUT017,2007,,Tier 2,Supermarket Type1,4349.0056,Non-Perisable,Unknown
FDZ36,6.04,Regular,0.0661,Baking Goods,187.724,OUT018,2009,Medium,Tier 3,Supermarket Type2,2050.664,Perisable,Low Visibilty
FDK38,6.65,Low Fat,0.0535,Canned,150.073,OUT018,2009,Medium,Tier 3,Supermarket Type2,3563.3616,Non-Perisable,Low Visibilty
FDS14,7.29,Low Fat,0.0499,Dairy,156.929,OUT013,1987,High,Tier 3,Supermarket Type1,1571.288,Perisable,Low Visibilty
FDQ40,11.1,Regular,0.0361,Frozen Foods,175.471,OUT049,1999,Medium,Tier 1,Supermarket Type1,2988.1104,Non-Perisable,Low Visibilty
FDE20,11.35,Regular,0.0055,Fruits and Vegetables,167.879,OUT049,1999,Medium,Tier 1,Supermarket Type1,4074.696,Perisable,Low Visibilty
